"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",3627
"0101 Halden","Høyre",1496
"0101 Halden","Kristelig Folkeparti",417
"0101 Halden","Norges Kommunistiske Parti",52
"0101 Halden","Sosialistisk Folkeparti (1961-1969)",361
"0101 Halden","Fellesliste Venstre",269
"0101 Halden","Fellesliste Senterpartiet",16
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4414
"0102 Sarpsborg (-1991)","Høyre",2067
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",555
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",144
"0102 Sarpsborg (-1991)","Sosialistisk Folkeparti (1961-1969)",696
"0102 Sarpsborg (-1991)","Fellesliste Venstre",508
"0102 Sarpsborg (-1991)","Fellesliste Senterpartiet",27
"0103 Fredrikstad (-1993)","Arbeiderpartiet",9491
"0103 Fredrikstad (-1993)","Høyre",5067
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1245
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",258
"0103 Fredrikstad (-1993)","Sosialistisk Folkeparti (1961-1969)",1235
"0103 Fredrikstad (-1993)","Fellesliste Venstre",624
"0103 Fredrikstad (-1993)","Fellesliste Senterpartiet",165
"0104 Moss","Arbeiderpartiet",6889
"0104 Moss","Høyre",3867
"0104 Moss","Kristelig Folkeparti",640
"0104 Moss","Norges Kommunistiske Parti",171
"0104 Moss","Sosialistisk Folkeparti (1961-1969)",1045
"0104 Moss","Fellesliste Venstre",538
"0104 Moss","Fellesliste Senterpartiet",156
"0111 Hvaler","Arbeiderpartiet",542
"0111 Hvaler","Høyre",456
"0111 Hvaler","Kristelig Folkeparti",144
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Sosialistisk Folkeparti (1961-1969)",41
"0111 Hvaler","Fellesliste Venstre",67
"0111 Hvaler","Fellesliste Senterpartiet",64
"0113 Borge (-1993)","Arbeiderpartiet",3486
"0113 Borge (-1993)","Høyre",546
"0113 Borge (-1993)","Kristelig Folkeparti",311
"0113 Borge (-1993)","Norges Kommunistiske Parti",219
"0113 Borge (-1993)","Sosialistisk Folkeparti (1961-1969)",478
"0113 Borge (-1993)","Fellesliste Venstre",69
"0113 Borge (-1993)","Fellesliste Senterpartiet",396
"0114 Varteig (-1991)","Arbeiderpartiet",324
"0114 Varteig (-1991)","Høyre",27
"0114 Varteig (-1991)","Kristelig Folkeparti",126
"0114 Varteig (-1991)","Norges Kommunistiske Parti",8
"0114 Varteig (-1991)","Sosialistisk Folkeparti (1961-1969)",29
"0114 Varteig (-1991)","Fellesliste Venstre",22
"0114 Varteig (-1991)","Fellesliste Senterpartiet",143
"0115 Skjeberg (-1991)","Arbeiderpartiet",3574
"0115 Skjeberg (-1991)","Høyre",665
"0115 Skjeberg (-1991)","Kristelig Folkeparti",655
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",114
"0115 Skjeberg (-1991)","Sosialistisk Folkeparti (1961-1969)",644
"0115 Skjeberg (-1991)","Fellesliste Venstre",180
"0115 Skjeberg (-1991)","Fellesliste Senterpartiet",524
"0116 Berg  (-1966)","Arbeiderpartiet",3044
"0116 Berg  (-1966)","Høyre",757
"0116 Berg  (-1966)","Kristelig Folkeparti",612
"0116 Berg  (-1966)","Norges Kommunistiske Parti",28
"0116 Berg  (-1966)","Sosialistisk Folkeparti (1961-1969)",278
"0116 Berg  (-1966)","Fellesliste Venstre",149
"0116 Berg  (-1966)","Fellesliste Senterpartiet",549
"0117 Idd (-1966)","Arbeiderpartiet",2669
"0117 Idd (-1966)","Høyre",432
"0117 Idd (-1966)","Kristelig Folkeparti",281
"0117 Idd (-1966)","Norges Kommunistiske Parti",37
"0117 Idd (-1966)","Sosialistisk Folkeparti (1961-1969)",296
"0117 Idd (-1966)","Fellesliste Venstre",89
"0117 Idd (-1966)","Fellesliste Senterpartiet",332
"0118 Aremark","Arbeiderpartiet",358
"0118 Aremark","Høyre",71
"0118 Aremark","Kristelig Folkeparti",139
"0118 Aremark","Norges Kommunistiske Parti",1
