"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",8274
"0101 Halden","Høyre",2175
"0101 Halden","Kristelig Folkeparti",2028
"0101 Halden","Senterpartiet",1030
"0101 Halden","Venstre",164
"0101 Halden","Rød valgallianse",54
"0101 Halden","Det nye Folkepartiet (1973-1977)",261
"0101 Halden","Anders Langes parti (1973)",557
"0101 Halden","Ensliges parti",29
"0101 Halden","Kvinnenes frie folkevalgte",17
"0101 Halden","Norges demokratiske parti",20
"0101 Halden","Sosialistisk Valgforbund (1973)",1336
"0102 Sarpsborg (-1991)","Arbeiderpartiet",3731
"0102 Sarpsborg (-1991)","Høyre",1687
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",933
"0102 Sarpsborg (-1991)","Senterpartiet",109
"0102 Sarpsborg (-1991)","Venstre",128
"0102 Sarpsborg (-1991)","Rød valgallianse",10
"0102 Sarpsborg (-1991)","Det nye Folkepartiet (1973-1977)",193
"0102 Sarpsborg (-1991)","Anders Langes parti (1973)",244
"0102 Sarpsborg (-1991)","Ensliges parti",12
"0102 Sarpsborg (-1991)","Norges demokratiske parti",2
"0102 Sarpsborg (-1991)","Sosialistisk Valgforbund (1973)",1018
"0103 Fredrikstad (-1993)","Arbeiderpartiet",7893
"0103 Fredrikstad (-1993)","Høyre",4193
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1952
"0103 Fredrikstad (-1993)","Senterpartiet",371
"0103 Fredrikstad (-1993)","Venstre",220
"0103 Fredrikstad (-1993)","Rød valgallianse",50
"0103 Fredrikstad (-1993)","Det nye Folkepartiet (1973-1977)",206
"0103 Fredrikstad (-1993)","Anders Langes parti (1973)",558
"0103 Fredrikstad (-1993)","Ensliges parti",29
"0103 Fredrikstad (-1993)","Kvinnenes frie folkevalgte",9
"0103 Fredrikstad (-1993)","Norges demokratiske parti",15
"0103 Fredrikstad (-1993)","Sosialistisk Valgforbund (1973)",2182
"0104 Moss","Arbeiderpartiet",6246
"0104 Moss","Høyre",3961
"0104 Moss","Kristelig Folkeparti",954
"0104 Moss","Senterpartiet",344
"0104 Moss","Venstre",120
"0104 Moss","Rød valgallianse",140
"0104 Moss","Det nye Folkepartiet (1973-1977)",228
"0104 Moss","Anders Langes parti (1973)",565
"0104 Moss","Ensliges parti",35
"0104 Moss","Kvinnenes frie folkevalgte",10
"0104 Moss","Norges demokratiske parti",9
"0104 Moss","Sosialistisk Valgforbund (1973)",1830
"0111 Hvaler","Arbeiderpartiet",463
"0111 Hvaler","Høyre",367
"0111 Hvaler","Kristelig Folkeparti",249
"0111 Hvaler","Senterpartiet",93
"0111 Hvaler","Venstre",25
"0111 Hvaler","Rød valgallianse",2
"0111 Hvaler","Det nye Folkepartiet (1973-1977)",8
"0111 Hvaler","Anders Langes parti (1973)",51
"0111 Hvaler","Ensliges parti",4
"0111 Hvaler","Kvinnenes frie folkevalgte",4
"0111 Hvaler","Norges demokratiske parti",2
"0111 Hvaler","Sosialistisk Valgforbund (1973)",71
"0113 Borge (-1993)","Arbeiderpartiet",3145
"0113 Borge (-1993)","Høyre",617
"0113 Borge (-1993)","Kristelig Folkeparti",584
"0113 Borge (-1993)","Senterpartiet",427
"0113 Borge (-1993)","Venstre",61
"0113 Borge (-1993)","Rød valgallianse",21
"0113 Borge (-1993)","Det nye Folkepartiet (1973-1977)",44
"0113 Borge (-1993)","Anders Langes parti (1973)",162
"0113 Borge (-1993)","Ensliges parti",4
"0113 Borge (-1993)","Kvinnenes frie folkevalgte",5
"0113 Borge (-1993)","Norges demokratiske parti",9
"0113 Borge (-1993)","Sosialistisk Valgforbund (1973)",902
"0114 Varteig (-1991)","Arbeiderpartiet",305
"0114 Varteig (-1991)","Høyre",27
"0114 Varteig (-1991)","Kristelig Folkeparti",182
"0114 Varteig (-1991)","Senterpartiet",159
"0114 Varteig (-1991)","Venstre",7
"0114 Varteig (-1991)","Det nye Folkepartiet (1973-1977)",3
"0114 Varteig (-1991)","Anders Langes parti (1973)",24
"0114 Varteig (-1991)","Kvinnenes frie folkevalgte",3
"0114 Varteig (-1991)","Norges demokratiske parti",1
"0114 Varteig (-1991)","Sosialistisk Valgforbund (1973)",84
"0115 Skjeberg (-1991)","Arbeiderpartiet",3269
"0115 Skjeberg (-1991)","Høyre",588
"0115 Skjeberg (-1991)","Kristelig Folkeparti",1068
"0115 Skjeberg (-1991)","Senterpartiet",616
"0115 Skjeberg (-1991)","Venstre",115
"0115 Skjeberg (-1991)","Rød valgallianse",15
"0115 Skjeberg (-1991)","Det nye Folkepartiet (1973-1977)",79
"0115 Skjeberg (-1991)","Anders Langes parti (1973)",304
"0115 Skjeberg (-1991)","Ensliges parti",11
"0115 Skjeberg (-1991)","Kvinnenes frie folkevalgte",8
"0115 Skjeberg (-1991)","Norges demokratiske parti",18
"0115 Skjeberg (-1991)","Sosialistisk Valgforbund (1973)",910
"0118 Aremark","Arbeiderpartiet",328
"0118 Aremark","Høyre",68
"0118 Aremark","Kristelig Folkeparti",211
"0118 Aremark","Senterpartiet",166
"0118 Aremark","Venstre",6
"0118 Aremark","Rød valgallianse",1
"0118 Aremark","Det nye Folkepartiet (1973-1977)",4
"0118 Aremark","Anders Langes parti (1973)",11
"0118 Aremark","Kvinnenes frie folkevalgte",1
"0118 Aremark","Sosialistisk Valgforbund (1973)",25
"0119 Marker","Arbeiderpartiet",788
"0119 Marker","Høyre",191
"0119 Marker","Kristelig Folkeparti",441
"0119 Marker","Senterpartiet",404
"0119 Marker","Venstre",11
"0119 Marker","Rød valgallianse",2
"0119 Marker","Det nye Folkepartiet (1973-1977)",12
"0119 Marker","Anders Langes parti (1973)",46
"0119 Marker","Ensliges parti",3
"0119 Marker","Kvinnenes frie folkevalgte",4
"0119 Marker","Norges demokratiske parti",1
"0119 Marker","Sosialistisk Valgforbund (1973)",100
"0121 Rømskog","Arbeiderpartiet",165
"0121 Rømskog","Høyre",26
"0121 Rømskog","Kristelig Folkeparti",128
"0121 Rømskog","Senterpartiet",59
"0121 Rømskog","Venstre",4
"0121 Rømskog","Det nye Folkepartiet (1973-1977)",3
"0121 Rømskog","Anders Langes parti (1973)",3
"0121 Rømskog","Sosialistisk Valgforbund (1973)",18
"0122 Trøgstad","Arbeiderpartiet",636
"0122 Trøgstad","Høyre",198
"0122 Trøgstad","Kristelig Folkeparti",462
"0122 Trøgstad","Senterpartiet",732
"0122 Trøgstad","Venstre",22
"0122 Trøgstad","Rød valgallianse",3
"0122 Trøgstad","Det nye Folkepartiet (1973-1977)",12
"0122 Trøgstad","Anders Langes parti (1973)",115
"0122 Trøgstad","Ensliges parti",5
"0122 Trøgstad","Kvinnenes frie folkevalgte",1
"0122 Trøgstad","Norges demokratiske parti",1
"0122 Trøgstad","Sosialistisk Valgforbund (1973)",74
"0123 Spydeberg","Arbeiderpartiet",678
"0123 Spydeberg","Høyre",266
"0123 Spydeberg","Kristelig Folkeparti",239
"0123 Spydeberg","Senterpartiet",509
"0123 Spydeberg","Venstre",23
"0123 Spydeberg","Rød valgallianse",2
"0123 Spydeberg","Det nye Folkepartiet (1973-1977)",16
"0123 Spydeberg","Anders Langes parti (1973)",89
"0123 Spydeberg","Ensliges parti",3
"0123 Spydeberg","Norges demokratiske parti",1
"0123 Spydeberg","Sosialistisk Valgforbund (1973)",112
"0124 Askim","Arbeiderpartiet",2639
"0124 Askim","Høyre",990
"0124 Askim","Kristelig Folkeparti",743
"0124 Askim","Senterpartiet",625
"0124 Askim","Venstre",151
"0124 Askim","Rød valgallianse",20
"0124 Askim","Det nye Folkepartiet (1973-1977)",133
"0124 Askim","Anders Langes parti (1973)",293
"0124 Askim","Ensliges parti",4
"0124 Askim","Kvinnenes frie folkevalgte",8
"0124 Askim","Norges demokratiske parti",5
"0124 Askim","Sosialistisk Valgforbund (1973)",564
"0125 Eidsberg","Arbeiderpartiet",1747
"0125 Eidsberg","Høyre",770
"0125 Eidsberg","Kristelig Folkeparti",1019
"0125 Eidsberg","Senterpartiet",967
"0125 Eidsberg","Venstre",69
"0125 Eidsberg","Rød valgallianse",7
"0125 Eidsberg","Det nye Folkepartiet (1973-1977)",47
"0125 Eidsberg","Anders Langes parti (1973)",189
"0125 Eidsberg","Ensliges parti",14
"0125 Eidsberg","Kvinnenes frie folkevalgte",6
"0125 Eidsberg","Norges demokratiske parti",1
"0125 Eidsberg","Sosialistisk Valgforbund (1973)",300
"0127 Skiptvet","Arbeiderpartiet",476
"0127 Skiptvet","Høyre",79
"0127 Skiptvet","Kristelig Folkeparti",291
"0127 Skiptvet","Senterpartiet",382
"0127 Skiptvet","Venstre",20
