"parti","1945","1949","1953","1957","1961","1965","1969","1973","1977","1981","1985","1989","1993","1997","2001","2005","2009","2013"
"Arbeiderpartiet",41,45.7,46.7,48.3,46.8,43.1,46.5,35.3,42.3,37.1,40.8,34.3,36.9,35,24.3,32.7,35.4,30.8
"Fremskrittspartiet",0,0,0,0,0,0,0,0,1.9,4.5,3.7,13,6.3,15.3,14.6,22.1,22.9,16.3
"Høyre",17,15.9,18.4,16.8,19.3,20.3,18.8,17.2,24.5,31.8,30.4,22.2,17,14.3,21.2,14.1,17.2,26.8
"Kristelig Folkeparti",7.9,8.4,10.5,10.2,9.3,7.8,7.8,11.9,9.7,8.9,8.3,8.5,7.9,13.7,12.4,6.8,5.5,5.6
"Senterpartiet",0,0,0,0,6.8,9.4,9,6.8,8,4.2,6.6,6.5,16.7,7.9,5.6,6.5,6.2,5.5
"Sosialistisk Venstreparti",0,0,0,0,0,0,0,11.2,4.2,5,5.5,10.1,7.9,6,12.5,8.8,6.2,4.1
"Venstre",13.8,12.4,10,9.6,7.3,10.2,9.4,2.3,2.4,3.2,3.1,3.2,3.6,4.5,3.9,5.9,3.9,5.2
"Miljøpartiet de Grønne",0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.2,0.1,0.3,2.8
"Norges Kommunistiske Parti",11.9,5.8,5.1,3.4,2.9,1.4,1,0,0.4,0.3,0.2,0,0,0.1,0.1,0,0,0
"Pensjonistpartiet",0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,0.6,0.7,0.5,0.4,0.4
"Rød valgallianse",0,0,0,0,0,0,0,0.4,0.6,0.7,0.6,0,1.1,1.7,1.2,1.2,0,0
"Det Liberale Folkepartiet",0,0,0,0,0,0,0,0,0,0.6,0.5,0,0,0,0,0,0,0
"Fedrelandspartiet",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0,0,0
"Stopp Innvandringen",0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0
"Fylkeslistene for miljø og solidaritet",0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
"Felles framtid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frihetspartiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hjelp fremmedkulturelle hjem ellers  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristent konservativt parti",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
"Naturlovpartiet",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
"Samfunnspartiet",0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samlingspartiet Ny Fremtid ",0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
"Frie Folkevalgte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folkeaksjonen Fremtid for Finnmark",0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"Hvit Valgallianse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tverrpolitisk kyst og distriktsparti",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
"Rettferdighetspartiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barn Eldre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samefolkets liste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kystpartiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.8,0.2,0.1
"Det Politiske Parti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
"Sosialdemokratene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristent Samlingsparti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1
"Norsk Folkeparti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Rødt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.1
"Abort motstandernes liste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Sosialistisk Folkeparti 1961 1969 ",0,0,0,0,2.4,6,3.4,0,0,0,0,0,0,0,0,0,0,0
"Bondepartiet t o m 1959 ",8,4.9,8.8,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sogn og Fjordane fisker og småbrukerparti",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norsk Sosialdemokratisk parti",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det nye Folkepartiet 1973 1977 ",0,0,0,0,0,0,0,3.4,1,0,0,0,0,0,0,0,0,0
"Anders Langes parti 1973 ",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Ensliges parti",0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0
"Kvinnenes frie folkevalgte",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Norges demokratiske parti",0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0
"Sosialistisk Valgforbund 1973 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demokratene i Norge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
"De Kristne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
"Piratpartiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"Folkeliste mot oljeboring i Lofoten Vesterålen og Senja",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folkemakten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sykehus til Alta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felleslister",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fellesliste Venstre",0,1.1,0,0.1,1.5,0.2,0,1.3,0.9,0,0,0,0,0,0,0,0,0
"Fellesliste Bondepartiet",0,3.2,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fellesliste Kristelig folkeparti",0,0.1,0,0,0.3,0.3,1.5,0.5,2.7,0,0,0,0,0,0,0,0,0
"Fellesliste Høyre",0,1.8,0.3,2.1,0.8,0.9,0.8,0.2,0.3,0,0,0,0,0,0,0,0,0
"Fellesliste Senterpartiet",0,0,0,0,2.6,0.5,1.6,4,0.6,0,0,0,0,0,0,0,0,0
"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Fellesliste Det nye Folkepartiet",0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
"Borgerlige felleslister",0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
"Lokale lister",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre lister",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre",0,0,0,0,0,0,0.1,0,0,0.2,0.1,0,0.2,0,0.3,0,0.1,0
